# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
🌊港澳,#genre#


无线新闻,https://stream1.freetv.fun/ac251cfa2842fa2be9c70e0f852ca810ccfcaada7d0c4a67c41b1b9dd2621412.m3u8
无线新闻,http://rihou.cc:555/tv/[Mt]无线新闻
无线新闻,https://hk.188766.xyz/?migutoken=e1484e77f68d8fc4e87187c7de6785e3&id=hk_wxxw&type=dy

Now新闻,https://cdn.163189.xyz/163189/now
Now新闻,https://hk.188766.xyz/?migutoken=7acbbd51a19b106f6b7580c82bc14a06&id=hk_now&type=dy
Now新闻,http://rihou.cc:555/tv/[Mt]Now新闻


翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
翡翠台,https://hk.188766.xyz/?migutoken=83a1ce8639ed5abcbad4c120b73fd0ec&id=hk_fct&type=dy
翡翠台,http://mg.hmysapp.cn:177/香港hk/翡翠台.php?id=301
翡翠台,http://rihou.cc:555/tv/[Mt]无线翡翠

无线华丽,http://php.jdshipin.com/PLTV/iptv.php?id=huali

明珠台,https://hk.188766.xyz/?migutoken=e61d53f1ca3c68507269c19bbeab5b7f&id=hk_mzt&type=dy
明珠台,http://php.jdshipin.com/PLTV/iptv.php?id=mzt

娱乐新闻台,http://php.jdshipin.com/PLTV/iptv.php?id=tvbylxw

TVB Plus,https://hk.188766.xyz/?migutoken=213f40ca46ddd99e3a8d896e5796fee4&id=hk_tvbp&type=dy
TVB Plus,http://php.jdshipin.com/PLTV/iptv.php?id=tvbp

TVBJ1,http://php.jdshipin.com/PLTV/iptv.php?id=j1

TVBJade台,http://php.jdshipin.com:8880/smt.php?id=Tvbjade


无线星河,https://hk.188766.xyz/?migutoken=c63aad21daa2a799c4ab5e331cd04bb6&id=hk_tvbxh&type=dy
无线星河,http://php.jdshipin.com/PLTV/iptv.php?id=xinghe


无线功夫,https://hk.188766.xyz/?migutoken=aad571c466167a4aedb75d5a125e8b49&id=hk_yzwx&type=dy
无线功夫,http://php.jdshipin.com/PLTV/iptv.php?id=yzwx

无线千禧,http://bxtv.3a.ink/api.php?id=qxjd

美亚电影,http://mg.hmysapp.cn:177/香港hk/美亞電影台.php?id=301
美亚电影,http://bxtv.3a.ink/api.php?id=meiya


pₒₚc电影,http://bxtv.3a.ink/api.php?id=popc

VIUTV,http://php.jdshipin.com/PLTV/iptv.php?id=viutv2

HOY78,http://rihou.cc:555/tv/[Mt]有线新闻

有线综合,http://php.jdshipin.com/PLTV/iptv.php?id=hoytv2
有线综合外语,https://hk.188766.xyz/?migutoken=6ca03a1b85b1a29ca7aeac7f2fe55958&id=hk_hoy&type=dy

AstroRio,http://php.jdshipin.com/PLTV/iptv.php?id=aod

澳门Mac,http://php.jdshipin.com/PLTV/iptv.php?id=as

澳视澳门,https://hk.188766.xyz/?migutoken=23d8878dc0cd2abe37c0b5799b73df22&id=hk_asam&type=dy
