# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
🌊港澳,#genre#


📺VPN直播频道,#genre#





☘️VPN日本Tokyo,#genre#


☘️测试,#genre#

台视新闻HD,https://live.wcetv.com/hls/master-ttvnews.m3u8
RTV,https://smart.pendy.dpdns.org/Smart.php?id=Rtv8
精18+台：,http://18.svi-studio.com:8880/live/624372101145/418430465490/4.m3u8
精艳台,http://18.svi-studio.com:8880/live/908957700097/132663288386/1.m3u8
潘朵拉,http://18.svi-studio.com:8880/live/624372101145/418430465490/3.m3u8
松視1台,http://18.svi-studio.com:8880/live/584830114073/800309151021/5.m3u8
松視2台,http://18.svi-studio.com:8880/live/917952932058/953281067271/6.m3u8
松視3台,http://18.svi-studio.com:8880/live/271871095922/006886711863/20205.m3u8
Jenny For You：https://59ec5453559f0.streamlock.net/JennyForYou/smil:WEB3131/playlist.m3u8,http://fl2.moveonjoy.com/Nat_Geo_Wild/index.m3u8
Nickelodeon,http://fl1.moveonjoy.com/NICKELODEON/index.m3u8

13-Sinart,http://38.180.133.31:8000/play/a0l2/index.m3u8
4 Repretel,http://38.180.133.31:8000/play/a0ol/index.m3u8
42 - Extra TV 42,http://38.180.133.31:8000/play/a0l3/index.m3u8
A&amp;E,http://38.180.133.31:8000/play/a0or/index.m3u8
A&amp;E HD,http://38.180.133.31:8000/play/a0ny/index.m3u8
AMC,http://38.180.133.31:8000/play/a0nj/index.m3u8
AMC HD,http://38.180.133.31:8000/play/a0nz/index.m3u8
AXN,http://38.180.133.31:8000/play/a0nh/index.m3u8
AXN HD,http://38.180.133.31:8000/play/a0qi/index.m3u8
AZ click HD,http://38.180.133.31:8000/play/a0o5/index.m3u8
Adult Swim,http://38.180.133.31:8000/play/a0n6/index.m3u8
America TV HD,http://38.180.133.31:8000/play/a10z/index.m3u8
Animal Planet,http://38.180.133.31:8000/play/a0ou/index.m3u8
Animal Planet HD,http://38.180.133.31:8000/play/a0nv/index.m3u8
Antena 3,http://38.180.133.31:8000/play/a0ki/index.m3u8
Antena 7- RD,http://38.180.133.31:8000/play/a0mu/index.m3u8
Atres Series,http://38.180.133.31:8000/play/a0ko/index.m3u8
Azcorazon,http://38.180.133.31:8000/play/a0n8/index.m3u8
Azmundo,http://38.180.133.31:8000/play/a0on/index.m3u8
BBC News,http://38.180.133.31:8000/play/a0nl/index.m3u8
Baby TV,http://38.180.133.31:8000/play/a0kf/index.m3u8
CARTOON NT HD,http://38.180.133.31:8000/play/a0la/index.m3u8
CDN37 - RD,http://38.180.133.31:8000/play/a0ok/index.m3u8
CERTV,http://38.180.133.31:8000/play/a0pj/index.m3u8
CHV HD,http://38.180.133.31:8000/play/a10m/index.m3u8
CINECANAL HD,http://38.180.133.31:8000/play/a0p4/index.m3u8
CNBC,http://38.180.133.31:8000/play/a0qe/index.m3u8
CNN Internacional,http://38.180.133.31:8000/play/a0kq/index.m3u8
CNNE,http://38.180.133.31:8000/play/a0nk/index.m3u8
Canal 10 HD,http://38.180.133.31:8000/play/a0y9/index.m3u8
