# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
🌊港澳,#genre#

无线新闻,https://amg01868-amg01868c5-tvbanywhere-us-4493.playouts.now.amagi.tv/playlist/amg01868-tvbusa-tvbnews-tvbanywhereus/playlist.m3u8
无线新闻,https://hk.188766.xyz/?migutoken=e1484e77f68d8fc4e87187c7de6785e3&id=hk_wxxw&type=dy


Now新闻台,https://hk.188766.xyz/?migutoken=7acbbd51a19b106f6b7580c82bc14a06&id=hk_now&type=dy
Now新闻,http://rihou.cc:555/tv/MtlNow新闻
Now新闻,https://cdn.163189.xyz/163189/now

无线翡翠,https://hk.188766.xyz/?migutoken=83a1ce8639ed5abcbad4c120b73fd0ec&id=hk_fct&type=dy
无线翡翠,http://php.jdshipin.com/PLTV/iptv.php?id=fct3
无线翡翠,http://t.061899.xyz/tl/js/js.php?id=tvbfct

无线翡翠4K,https://hk.188766.xyz/?migutoken=11fa3e64ea0083791f9759b25259d0d5&id=hk_fct4k&type=dy

无线华丽,http://php.jdshipin.com/PLTV/iptv.php?id=huali
无线华丽国语,http://iptv.4666888.xyz/iptv2A.php?id=28

无线明珠,https://hk.188766.xyz/?migutoken=e61d53f1ca3c68507269c19bbeab5b7f&id=hk_mzt&type=dy
无线明珠,http://php.jdshipin.com/PLTV/iptv.php?id=mzt2
无线明珠,http://php.jdshipin.com/PLTV/iptv.php?id=mzt
无线明珠,http://rihou.cc:555/tv/Mtl无线明珠
无线明珠,http://rihou.cc:555/tv/Bxl无线明珠
无线明珠,http://bxtv.3a.ink/api.php?id=mz

无线娱乐,http://php.jdshipin.com/PLTV/iptv.php?id=tvbylxw

TVB Plus,https://hk.188766.xyz/?migutoken=213f40ca46ddd99e3a8d896e5796fee4&id=hk_tvbp&type=dy
TVB Plus,http://php.jdshipin.com/PLTV/iptv.php?id=tvbp
TVB Plus,http://php.jdshipin.com/PLTV/iptv.php?id=j2
TVB Plus,http://rihou.cc:555/tv/PdlPlus综合
TVB Plus,http://rihou.cc:555/tv/MtlPlus综合
TVB Plus,http://rihou.cc:555/tv/BxlPlus综合
TVB Plus,http://bxtv.3a.ink/api.php?id=tvbp

TVBJade,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
TVBJ1美,http://php.jdshipin.com/PLTV/iptv.php?id=j1

无线星河,https://hk.188766.xyz/?migutoken=c63aad21daa2a799c4ab5e331cd04bb6&id=hk_tvbxh&type=dy
无线星河,http://php.jdshipin.com/PLTV/iptv.php?id=xinghe
无线星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
无线星河,http://php.jdshipin.com/smt.php?id=Xinhe

无线功夫,https://hk.188766.xyz/?migutoken=aad571c466167a4aedb75d5a125e8b49&id=hk_yzwx&type=dy
无线功夫,http://php.jdshipin.com/PLTV/iptv.php?id=yzwx
无线功夫,http://rihou.cc:555/tv/Pdl无线功夫

无线千禧,http://php.jdshipin.com/PLTV/iptv.php?id=tvbc
无线千禧,http://rihou.cc:555/tv/Bxl无线千禧
无线千禧,http://bxtv.3a.ink/api.php?id=qxjd

无线赛马,http://rihou.cc:555/tv/Bxl无线赛马

美亚电影,http://php.jdshipin.com/PLTV/iptv.php?id=meiya
美亚电影,http://rihou.cc:555/tv/Bxl美亚电影
美亚电影,http://bxtv.3a.ink/api.php?id=meiya
美亚电影,https://smt.go-iptv.ggff.net/smart.php?id=meiyamovie_twn&token=Goiptv

pₒₚc电影,http://rihou.cc:555/tv/Bxlpₒₚc电影
pₒₚc电影,http://bxtv.3a.ink/api.php?id=popc

Now星影,http://rihou.cc:555/tv/MtlNow星影
Now星影,http://rihou.cc:555/tv/BxlNow星影
Now星影,http://bxtv.3a.ink/api.php?id=xingying
Now星影,https://bee.946985.filegear-sg.me/nowxyt/xingyingtai.m3u8
Now星影,http://bxtv.3a.ink/api.php?id=xingying

Now爆谷,https://bee.946985.filegear-sg.me/nowbgt/baogutai.m3u8
Now爆谷,http://bxtv.3a.ink/api.php?id=baogu
Now爆谷,http://rihou.cc:555/tv/BxlNow爆谷
Now爆谷,http://rihou.cc:555/tv/MtlNow爆谷
NOW爆谷,http://bxtv.3a.ink/api.php?id=baogu

Now财经,http://rihou.cc:555/tv/MtlNow财经

Now直播,http://rihou.cc:555/tv/MtlNow直播

天映频道,http://rihou.cc:555/tv/STl天映频道l
天映频道国语,http://rihou.cc:555/tv/STl天映频道
天映经典,http://rihou.cc:555/tv/STl天映经典

VIUTV,http://php.jdshipin.com/PLTV/iptv.php?id=viutv2
VIUTV,http://rihou.cc:555/tv/MtlVIUTV粤
VIUTV,https://smt.go-iptv.ggff.net/smart.php?id=viu1_twn&token=Goiptv

VIUTV英,http://rihou.cc:555/tv/MtlVIUTV英
VIUTV英,https://smt.go-iptv.ggff.net/smart.php?id=viusix_twn&token=Goiptv

VIUTV1台,http://rihou.cc:555/tv/MtlVIUTV壹
VIUTV2台,http://rihou.cc:555/tv/MtlVIUTV贰

有线综合,http://php.jdshipin.com/PLTV/iptv.php?id=hoytv2
有线综合,http://rihou.cc:555/tv/Mtl有线综合

RTHK31,http://php.jdshipin.com/PLTV/iptv.php?id=rthk31
RTHK31,http://rihou.cc:555/tv/MtlRTHK-31
RTHK31,https://smt.go-iptv.ggff.net/smart.php?id=rhk31_twn&token=Goiptv

RTHK32,http://php.jdshipin.com/PLTV/iptv.php?id=rthk32
RTHK32,https://smt.go-iptv.ggff.net/smart.php?id=rhk32_twn&token=Goiptv

有线赛讯,http://rihou.cc:555/tv/Mtl有线赛讯

AstroRio,http://php.jdshipin.com/PLTV/iptv.php?id=aod

澳门Mac,http://php.jdshipin.com/PLTV/iptv.php?id=as
澳视澳门,https://hk.188766.xyz/?migutoken=23d8878dc0cd2abe37c0b5799b73df22&id=hk_asam&type=dy
澳视澳门,http://php.jdshipin.com/PLTV/iptv.php?id=asam

八度空间,https://hk.188766.xyz/?migutoken=f9961c16cbc5673a85d7e539137bb9b6&id=hk_8tv&type=dy
